song_name,duration_ms,popularity,preview_url,artists,album_name,album_type,release_date,total_tracks,album_cover_url
No Titles,113265,40,https://p.scdn.co/mp3-preview/6c9e1f16a81a5a31df5354a01c07f15b59d119f2?cid=38e2a4a43dbf4f63a749947cbcb26e74,keytourno,No Titles,single,2023-07-19,1,https://i.scdn.co/image/ab67616d0000b2738d4bfb7492e1c364fb223fa0
"Cha-La Head Cha-La - From ""Dragonball Z""",99527,42,https://p.scdn.co/mp3-preview/7bd92447f5fcf4b4514b6413bda2f5018ef41e3b?cid=38e2a4a43dbf4f63a749947cbcb26e74,Kantan,Anime Piano Collection (Vol. I),album,2023-05-02,11,https://i.scdn.co/image/ab67616d0000b27307c057cf2db1ebe2533b01e2
"24-Hour Cinderella (From ""Yakuza 0"") - 8-bit Remix",109721,8,https://p.scdn.co/mp3-preview/ffaea0207fad5347dceb216c6158c446dfd5be56?cid=38e2a4a43dbf4f63a749947cbcb26e74,Musikage,"Various 8-bit and 16-bit Remixes (From ""Yakuza 0"")",single,2021-12-01,3,https://i.scdn.co/image/ab67616d0000b273f6fefd7ee8269d5b35a2719e
National Anthem of the Russian Federation,226371,24,https://p.scdn.co/mp3-preview/ee6853962fa340decf873654d7c4ca087305da58?cid=38e2a4a43dbf4f63a749947cbcb26e74,REELTRACKS - music for your eyes®,Red Glory - Authentic Russian Anthems of Victory and Glory,album,2018-05-31,15,https://i.scdn.co/image/ab67616d0000b27333db35a1f15a95c5ac050537
Giorno's Theme: Il Vento D'oro (JoJo's Bizarre Adventure: Golden Wind),245464,38,https://p.scdn.co/mp3-preview/e1ae25e4f25744365064efda544d690192006334?cid=38e2a4a43dbf4f63a749947cbcb26e74,Fonzi M,Giorno's Theme: Il Vento D'oro (JoJo's Bizarre Adventure: Golden Wind),single,2019-09-05,1,https://i.scdn.co/image/ab67616d0000b273899da1c1ce76ddf662dcf814
"Crazy Noisy Bizarre Town (From ""Jojo's Bizarre Adventure: Diamond Is Unbreakable"") [feat. Skully Tun]",182693,46,https://p.scdn.co/mp3-preview/a763e24d8b5ea57480a625aa8a120e7838814156?cid=38e2a4a43dbf4f63a749947cbcb26e74,Chipmusic Heroes,Primetime Adventures,album,2016-08-10,12,https://i.scdn.co/image/ab67616d0000b273b176ae180192186f2b79d22c
Se Essa Rua Fosse Minha,93798,48,https://p.scdn.co/mp3-preview/3cad3dc6257276de0eb586f96783f17e21793191?cid=38e2a4a43dbf4f63a749947cbcb26e74,Anne Liz,Garota de Ipanema,single,2021-03-17,4,https://i.scdn.co/image/ab67616d0000b273bf7911a65510ebb3282820bc
The Nutcracker Suite: Dance of the Sugar Plum Fairies,133000,23,https://p.scdn.co/mp3-preview/f7ef139bb54c97f13751365afb9ac409a8ed38e5?cid=38e2a4a43dbf4f63a749947cbcb26e74,David Bowie,David Bowie narrates Prokofiev's Peter and the Wolf & The Young Person's Guide to the Orchestra,album,1978-05-02,41,https://i.scdn.co/image/ab67616d0000b2730771d7e0302b9a057f5d4b15
ウィーアー! (ONE PIECE),262013,58,https://p.scdn.co/mp3-preview/24fc081d75c8dbc2bfdebb2593386adcd7ed62e9?cid=38e2a4a43dbf4f63a749947cbcb26e74,Various Artists,アニソンLive大全集 熱烈!アニソン魂「アニたまLive」vol.1 in AJF 2004,compilation,2004-10-20,27,https://i.scdn.co/image/ab67616d0000b273e80c0a72e328b873da85de22
Play Date,179867,79,https://p.scdn.co/mp3-preview/02571c396fcc7c23b6af493d60ea9121c1f397b1?cid=38e2a4a43dbf4f63a749947cbcb26e74,Melanie Martinez,Cry Baby (Deluxe Edition),album,2015-08-14,16,https://i.scdn.co/image/ab67616d0000b2733899712512f50a8d9e01e951
Sweater Weather,240400,93,https://p.scdn.co/mp3-preview/877602f424a9dea277b13301ffc516f9fd1fbe7e?cid=38e2a4a43dbf4f63a749947cbcb26e74,The Neighbourhood,I Love You.,album,2013-04-19,11,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921
